time(millisecond),latitude,longitude,height_above_takeoff(feet),height_sonar(feet),compass_heading(degrees),roll(degrees),battery_percent,voltageCell1
189500,12.8566655575381,100.97309138645,3.28084,3.937008,301.9,-0.8,88,4.153
189600,12.8566661846673,100.973090299226,2.952756,3.937008,301.9,-0.8,88,4.153
189700,12.8566671681188,100.973088366626,2.952756,3.937008,301.9,-0.8,88,4.153
189800,12.8566681996901,100.973086638774,2.952756,3.937008,301.8,-0.7,88,4.153
189900,12.8566693793186,100.973084680388,2.952756,3.937008,301.7,-0.5,88,4.153
190000,12.8566704686304,100.973082870928,2.952756,3.608924,301.7,-0.7,88,4.153
190100,12.8566714979247,100.973081112584,2.952756,3.608924,301.7,-0.5,88,4.153
190200,12.8566726217888,100.973079195586,2.952756,3.608924,301.9,-0.6,88,4.153
190300,12.8566740615918,100.973076676343,2.952756,3.608924,301.9,-0.6,88,4.15
190400,12.8566757087531,100.973073894746,2.952756,3.608924,301.9,-0.6,88,4.15
190500,12.8566775398285,100.973070896113,2.952756,3.608924,301.6,-0.6,88,4.15
190600,12.856679658849,100.973067282027,2.624672,3.608924,301.5,-0.5,88,4.15
190700,12.8566804532422,100.973065891492,2.624672,3.608924,301.1,-0.7,88,4.15
190800,12.8566806916653,100.973065364247,2.624672,3.608924,301.3,-1.3,88,4.15
190900,12.8566810701971,100.97306467818,2.624672,3.608924,301.9,-1.4,88,4.15
191000,12.8566805055482,100.973065381171,2.624672,3.608924,301.9,-0.8,88,4.15
191100,12.856681872539,100.97306326848,2.624672,3.608924,301.7,-0.5,88,4.15
191200,12.8566833940594,100.973060948778,2.624672,3.608924,301.6,-0.8,88,4.15
191300,12.856684505106,100.973059237262,2.624672,3.608924,300.7,-0.9,88,4.15
191400,12.8566867058113,100.973055915256,2.952756,3.608924,297,-1.9,88,4.145
191500,12.856687161638,100.973055167714,2.952756,3.608924,294,-2.5,88,4.145
191600,12.8566874699586,100.973054745792,2.952756,3.608924,292.1,-2.3,88,4.145
191700,12.856687705312,100.973054454652,2.952756,3.608924,288.1,-2.1,88,4.145
191800,12.8566874961562,100.973055215833,2.952756,3.608924,283.5,-2.3,88,4.145
191900,12.8566875451643,100.973055195341,2.952756,3.608924,279.3,-2,88,4.145
192000,12.8566875710883,100.973055158803,2.952756,3.608924,277.1,-1.8,88,4.145
192100,12.8566873931238,100.97305548134,2.952756,3.608924,273.1,-1.5,88,4.145
192200,12.8566872639173,100.973055761321,2.952756,3.608924,268.8,-1.3,88,4.145
192300,12.8566870945087,100.973056467669,2.952756,3.608924,266.8,-1.6,88,4.145
192400,12.856687142941,100.973056523776,3.28084,3.608924,264.5,-1.1,87,4.147
192500,12.8566872020348,100.973056581526,3.28084,3.608924,260.1,-1.1,87,4.147
192600,12.8566871786618,100.973056687307,3.28084,3.608924,256.4,-1,87,4.147
192700,12.8566873906249,100.973056606192,3.28084,3.608924,254.6,-1.1,87,4.147
192800,12.8566874094286,100.973056619627,3.28084,3.608924,253.9,-0.8,87,4.147
192900,12.8566873773775,100.973056689486,3.28084,3.608924,253.8,-0.3,87,4.147
193000,12.856687348274,100.973056734609,3.28084,3.608924,253.7,-0.1,87,4.147
193100,12.8566876001983,100.973056302143,3.28084,3.608924,253.7,0,87,4.147
193200,12.8566875271252,100.973056208866,3.28084,3.608924,253.6,0,87,4.147
193300,12.8566874092047,100.973055955906,3.28084,3.608924,253.6,-0.3,87,4.147
193400,12.8566872573018,100.973055611805,3.28084,3.608924,253.7,-0.5,87,4.145
193500,12.8566870906403,100.973055018435,3.28084,3.608924,253.8,-0.4,87,4.145
